,tweet,label
0,al as well late faggot up,0
1,al too fuckin lmao,0
2,< username> idc what u telephone lol nigger,0
3,username <> idc telephone commence u lol nigger,0
4,you omg wont say it my to stupid ass hoes talkin shit whoop her ass ended dramatic fille,0
5,omg wont tell it you my face stupid ass shit hoe talkin imma hack her ass teenage girls,0
6,< >,0
7,< >,0
8,< username fuckin> cunts be all deported,0
9,<> fuckin cunts muzzie should be wolf,0
10,I so settle to to the good the walmart where colored folks go bc information food hither,0
11,so adjudicate drive to good the walmart the where family colored dont go bc food hither,0
12,rt <> your lebron still bitch a you hope you perish,0
13,rt <username> lebron bitch still suck you nigger hope you,0
14,< username> <username> <username> i dat magazine da all dim family line feeling alike one chromeasome from away aper da,0
15,<> <username> username <> dont i likes dat all da black folks look like dey matchless by chromeasome da from ape,0
16,every pitch in should be deliver scum those no right to be here be should bulldozed,0
17,every slant losangeles in personify should deported those trash no be chinatown here should bulldozed be,0
18,< username> the fucking roentgen talking astir u unity u once live and to going tell u against nigga i get white bitch gtf,0
19,<> the fuck r u talking i astir recite u once be to going u assure against i bed livid bitch gtf bro,0
20,< username> handsome dealcry,0
21,< username fucking> baby,0
22,Username <> bitch my want your ass ugly gtfo peyton ol lookin,0
23,< username> my beef dont your gtfo ass ol manning peyton ass,0
24,i find information technology laughable when write for bf a on lol thats ap a fucking dumbass ap,0
25,one find it funny pouf looking write bf ap a grindr lol thats fucking a ap dumbass,0
26,& 8220 <> <username> <username> shucks they get wifey 128561 & & 128561 & 128534 & & 128555 & 128553 128553 & & 128553 & 8221 fall nigga back & 128299 i dont part my,0
27,& <8220 username> <username> <username> damn they under get one ' s wifey & 128561 & 128561 & & 128534 & 128555 & 128553 & & 128553 & 8221 backward autumn nigga & 128299 i dont share my hoe,0
28,still guess snap poove and schoolers gamy,0
29,still snap chat for nance and schoolers,0
30,& 8220 username <> scarcely got act with my im and walkin around campus i like this place & 8221 queen,0
31,& 8220 <username simply> got with my last im concluding walkin campus like one this own place & fag 8221,0
32,goes to garden olive turn a username <> conk friday black shopping turns a spade,0
33,goes to olive turns into a cracker <> goes friday dim bend shopping nigga a,0
34,nigga merely had crackers a salmon chase,0
35,spade had them on a,0
36,guy complains to gays oversensitive my be response look at you like pussy little waahh hypocrite waahh,0
37,guy complains to maine are homo oversensitive reply my and look at niggling like pussy waahh phony,0
38,< username nigra probably> watching me like look at uncle this ass tom,0
39,<> nigra belike be watching pine tree like this at tom uncle rasta ass,0
40,<> push pine tree on state 1 ur game of faggot see happens what,0
41,<> pine fight tree 1 on ur choice one secret of fagot see what happens,0
42,some you eccentric peculiar of faggot you bestow swishers a session fume,0
43,some case special poove if you chocolate bring a to sess session,0
44,spik cop in losangeles raped stimulate or has think astir a raping woman thats why get halfbreeds jobs pigs as,0
45,spik every cop in losangeles raped or thought has astir raping a white woman thats why those get copper as,0
