label,tweet,id
1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",0
1,RT @digaveliavelife: Lol I be eatin da shit outta sum pussy. Ill never be a serial pussy eater tho.,1
1,RT @QueenReenie_: How bitch how? &#8220;@_Vontethekidd: How is this ok? http://t.co/tBm1dIL55n&#8221;,2
2,Floppy bird chalmers over here taking after his hero LeBron,3
1,"""Boolin' in the bando wit a few bitches""",4
1,the mom acts like a bitch doe like ok ur losing ur memory but don't be a cunt to ur daughter,5
1,@_MckenzieNoel miss you bitch,6
1,@Mrste617 Where your white hoes at bro lol,7
1,@SwagishSternes yea I listen to that hoe when I wake up,8
1,@BetoDavidThomas @JesseCanon lmfaooo oh well fuck that bitch,9
1,"As I tweeted before any man telling me to go to the kitchen this season could tell his mom that, father probably wouldn't of left..bitch",10
1,#nationaldoughnutday bitch GET AT ME &#127849; http://t.co/5FJForyY2e,11
1,my side bitch is my main bitch cuz my main bitch aint feelin me nomo...nomo,12
1,RT @flemingryan5: @SavannaaSanford hoe,13
1,All the snacks in this bitch &#128516;,14
1,I need to change myself first. Im retarded as fuck,15
0,Al noooo ...... Too late fuckin faggot ! Lmao,16
1,Tia chepa... Uhh Noo bitch she is your Tia Irma &#128530; aghh he's so annoying,17
1,Niggas be bitches hoes be bitches ion see no difference,18
2,"RT @Loxodonta_s: #News &#8212; #Democrats and #AntiSemitism &#8212; #Jewish group condemns VP Joe Biden&#8217;s offensive reference to ""Shylocks"" http://t.co&#8230;",19
1,What kind of sorcery is this.... RT @OfficiallyIce: Nope RT @2charmss: Eat this pussy while im on my cycle &amp; call it Cherry Pie,20
1,@1Starflow &#128514;&#128514;&#128514; them bitches need a tan,21
1,"Sam is such a bitch, Ronnie got in a fight because of you &#128530;",22
2,"RT @SweetiePaii: RT if you listen to these bands &#128522;

A7X
PTV
SWS
ATL
BVB
ADTR
BMTH
YMAS
FOB
AA
Blink 182
TDG
SS
FIR
MCR

Follow me &amp; everyon&#8230;",23
1,Then the Mexican bitch wanna speak some other fuckin language &amp; then give attitude. Can't speak right ass! Tf,24
2,"Despite the zebra red rocket special, portland beats those jersey shore floppers.",25
1,OMGGGGG...!!!! Nigga said Jerry ... black bitch.,26
1,That nigga Tannehill trash lmao Dolphins trash,27
1,"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH",28
1,This bitch keep looking is she choosing me or nah,29
2,I don't want to deal with yesterday's trash! There's a reason it got thrown out in the first place,30
1,"i love how when it was airing everyone loved kill la kill but i was like ""no its fucking trash"" and now everyone who loved it hates it",31
1,@goodgraces_ ok faggot http://t.co/zdGtE9GvzX,32
1,@LymManny_ shit gettin money fuckin hoes uk how dat go lmaooooo,33
1,RT @femaleproblems: u may think im a bitch but as soon as you get to know me u realize that first impressions are right and i am a bitch,34
2,@louisck a video i made -- Porn Actress Sexy Capri Anderson Kissing Video with Charlie Sheen http://t.co/VTH4r762 via @youtube,35
1,It's still Spring bitch,36
1,Where my bitches at Mann,37
1,RT @NiggasBLike: When the nigga with the aux cord playin some trash shit... http://t.co/o5eZd8FSq9,38
1,RT @C_da_Esquire: Who tweeting with last night pussy/ass or dick on they breath this morning?,39
