id,label,tweet
0,2,shout out to pullz cuz i kno if i was trash he would have kept it a buck i swear he had every i made jus cuz n actually bump dem too
1,1,at the bar in downey wit my uncle this niggah faded hopefully he doesnt get us into a fight lmao
2,0,<username> gay fags
3,1,i hate when bitches post pictures with other cute bitches and dont tag em in it thats low key very selfish as fuck
4,0,this white bitch tried to set me up for a racial war lol bitch its impossible im smarter then you
5,0,fuck ass redskin corners
6,0,& 128514 & 128514 & 128514rt <username> them 1st 48 charlotte goon niccas gon fkkk around and burn bank of america stadium down & 128293
7,2,<username> find one where be beat nathan moons head into the ice too ol andrew is straight trash as far as hockey
8,0,<username> <username> dryer then them bad ass eyes of your fag
9,2,ayyyyy im sipping on a free slurpee and seeing the front bottoms tonight im a happy clam
10,2,rt <username> <username> youre secretly a yankee fan youll admit it some day
11,2,lmao i s2g having roots with yellowwhite hair makes it look so dirty im & 128567 <url>
12,2,iu should make me an honorary student id be way cooler than the other international students i have my own football card hoosiers
13,0,<username> <username> <username> they are wrong you are a nigger always causung mischief among ur own people
14,2,<username> mixtape sell sole got some bangers
15,1,<username> target got them high class hoes
16,2,drita is that nicca lmao
17,0,<username> faggot i knew you werent really my friend
18,0,i do da flow in a temple today fo nuttin and dat jew wit the funky hair tell me i subhuman he tell me i aint no mo human den a monkey
19,0,fuck you you pussy ass hater go suck a dick and die quick someone to me in youtube comments i think wed be good friends
20,0,<username> go pray in a church or something fag no one cares about your religious bullshit
21,0,<username> <username> <username> do birds have a 72 % out of wedlock rate is it white fathers that are running away
22,0,cant trust niggas when it come to bitches
23,1,rt <username> <username> lil bitch you aint knowyou can never score from the sideline hoe
24,2,<username> im not trying to be critical but jr literally looks like he just ate a pot brownie got off a couch and put on his gloves
25,1,<username> <username> <username> says the scrawny nigger
26,1,friend zone ass nigguh
27,0,seattle mayoral election this year a choice between a bunch of women nonwhites and faggotsfag lovers <url>
28,2,sorry all my fellow negros
29,0,rt <username> smh nigga is mildly retarded rt <username> lmfao rt <username> if griff wasn & 8217t injuries we & 8217d legit be 61
30,0,<username> u see a lame in that pic ofmine due to your infatuation with niggers im hebrew i fite the children of satan in the streets
31,0,my advice of the day if your a trannygo fuck your self <url>
32,0,pop a nigguh sound like crisco
33,1,i have finally come to terms with the fact i am at my highest bitch level when i dont eat needasnickersanda 2piece
34,2,rt <username> crooked number followed by shut down frame love it yankees
35,2,rt <username> wen u look liek trash n sum 1 complimentz u <url>
36,1,1 vader is a sith not a jedi duh 2 vader is also a whiny bitch 3 yoda is motherfucking yoda micdrop
