,tweet,label
0,floppy bird chalmers over here taking after his hero lebron,2
1,rt < username > news & 8212 democrats and antisemitism & 8212 jewish group condemns vp joe biden & 8217s offensive reference to shylocks < url >,2
2,rt < username > rt if you listen to these bands & 128522 a7x ptv sws atl bvb adtr bmth ymas fob aa blink 182 tdg ss fir mcr follow me & amp everyon & 8230,2
3,despite the zebra red rocket special portland beats those jersey shore floppers,2
4,i dont want to deal with yesterdays trash theres a reason it got thrown out in the first place,2
5,< username > a video i made porn actress sexy capri anderson kissing video with charlie sheen < url > via < username >,2
6,i have to dress up tomorrow for mock interviews and i still dont know how to tie the tie & 128530,2
7,< username > i realized its the one on links awakening too so you killed two birds with one stone unless youre getting the wind fish too,2
8,rt < username > have to go with the slant pass to your outside linebacker in that situation,2
9,& 128553 monkey mad,2
10,debating feminism with a gay professor uninformed girls and low iq rednecks is not my idea of a fun wednesday night,2
11,< username > < username > dont trash jerseyodds areyou wouldnt last 10 minutes around here go back to watching barney,2
12,< username > at some point we need to discuss how delicious the vegan brownie from < username > on u st tastes,2
13,< username > so you about to purpose to charlie,2
14,& 8220 < username > if howard elbow bosh will bosh fight back & 8221 dont have to got mcbob bird and ud,2
15,rt < username > charlie sheen did the ice bucket challenge the right way < url >,2
16,& 8220 < username > and thats why mock drafts are a joke my friends & 8221anyone,2
17,< username > so how bout now was just trash huh,2
18,< username > its idiotic opinions like this that make polls less than trash polls werent a problem when people with integrity were voting,2
19,rt < username > i dont like the weather right now its scaring me lol why is it yellow,2
20,mommy said no pussy cats inside my dawgs house,2
21,this flappy bird game addicting,2
22,generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird ^ _ ^ < url >,2
23,< username > well pee is oft yellow,2
24,< username > blaxican,2
25,some call me the song bird of my generation,2
26,rt < username > gracias por jugar con el corazon ahora a ganarle a los yankees < username > < url >,2
27,rt < username > drinking to the last drop washing teapot haiku mijikai,2
28,short answer yes ~ sage grouse rebellion will obama use two small birds to limit oil drilling in the west < url >,2
29,if temple beats rutgers today i will be a happy clam,2
30,tomorrows agenda bake brownies & amp visit a couple open house,2
31,it feels awkward to have the < username > playing against the < username > i mean we all know who im rooting for but its awkward,2
32,i miss my monkey & 128533,2
33,bluesapphireearrings 18kyellowgoldclipondiamond alexandra earrings in emerald crystal on emma < url >,2
34,rt < username > almost 83 % of children in balochistan have never been to school followed by 80 % in sindh 75 % in kp and 60 % in punjab & 8230,2
35,bought this lp in manchester the other week had no idea it was coloured vinyl man what a steal vinylgasm remachined,2
36,want to go get this brownie im stuck doe,2
37,pinto grigio dreams turned into moscato reality,2
38,if the yankees cant beat the red sox they dont even deserve to be in the playoffs yankees redsox mlb,2
39,< username > some weird local ghetto school haha,2
40,rt < username > you sure do have a pretty face for a cripple,2
41,no cuz redskins are dumpster juice rt < username > game of the week still the best rivalry in sports,2
42,rt < username > hungover and feeling yyyyyeelllloooowwwwww < username > < username > dbh yellow < url >,2
43,i need sleep but cant seem to get that place that lets you clam down and sleep,2
44,rt < username > i got gatorades twinkies rice puddings pringles and cookies & 128525 & 128555,2
45,i was in love with charlie & 128553,2
46,< username > in that picture yes i havent had an updated pic added the angel wing is colored now too and thanks represents what i am,2
47,stop smokin bathsalt charlie brown rejectedpeanutsspecials,2
48,im telling you man rt < username > roethlisberger got his record expunged and became trash,2
49,rt < username > emma watson theoscars 2014 & 128515 & 128515 < url >,2
50,this cowboys an redskins game was a hell of a game,2
51,rt < username > poll florida governor rick scott is leading charlie crist by five points < url >,2
52,that front flip was trash thats how i front flip into the swimming pool and land on my back every time,2
53,yall sleep on shy glizzy & 128564 young jefe & 128520,2
54,& 8220 < username > thats my fav part on take care & 8221whole album trash,2
55,rt < username > darn trash man he beat me to the good stuff again < url >,2
56,< username > < username > < username > hey teabagger the law made it a felony to keep and collect the records get your facts straight,2
57,< username > hmu negro,2
58,thinking bout those oysters at the gator bait tho & 128533,2
59,< username > overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day,2
60,hugs or kisses & 8212 hugs it gives you a warm fuzzy feeling < url >,2
61,tattoos are about expression not meaning one mans trash is another mans treasure & 128161 & 128176,2
62,time to start listing to il spook,2
63,& 8220 < username > how i feel when im throwing trash away < url > everyday in school,2
64,my teacher always says has a man ever abused his wife while using marijuana not unless she hides the oreo cookies then she deserves it,2
65,rt < username > twitch plays call of duty enter trash talk in the chat the autoaim will do the rest,2
66,< username > lemmie eat a oreo & amp do these dishes one oreo lol,2
67,< username > dubya hates todays teabagger movement,2
68,step up and take your oppurtunity freshfaces iubb hoosiers,2
69,jets trash,2
70,rt < username > if a single wasp could read these waspfacts tweets there could be a peace treaty between wasps and man but wasps are & 8230,2
71,rt < username > who on gzs defense team is paying media to trash the prosecution constantly < username >,2
72,beanies cumming real soon < url >,2
73,video on the record charlie baker < url >,2
74,yankees damn you directtv blackout the yankee game with a freaking walk off youre killing me satellite douche,2
75,rt < username > reasons to be a mermaid no periods no pants perfect hair u get to lure men into their death also free clam bra,2
76,< username > < username > tranny,2
77,< username > ill scream from france for you tom iu iubb hoosiers creanandcrimson,2
78,< username > practically anything that & 8217s colored red often contain red pigments extracted from the female coccus costa or cochineal insect,2
79,best rider that goes to a blaxican,2
80,< username > dude remember this wop video < username > < url > omg where did you find that,2
81,rt < username > bizarre sports week in cle < username > win a game that felt like a lossfailed exbrowns qbs duel each other and < username > lose ho & 8230,2
82,truth rt < username > david is the charlie brown of scandal,2
83,rt < username > i love when the birds are chirping in the morning patsgonnasubtweet,2
84,only a couple of red sox have gotten past first base im dying laughing maybe the yanks need to teach them some game,2
85,< username > < username > ugh < username > put one 420 dead center off him < username >,2
86,< username > you a oreo cookie now,2
87,< username > word do any of ur decisions include anchor feather infinity sign bird,2
88,& 8220 < username > a lot of them are though attitudes be pure trash & 8221 teamwhitegirls swirltheworld,2
89,< username > jayz and bey they will never bejus trash,2
90,my doctors office is retarded we noticed you put in a prescription order so we canceled it give us a call if you need a refill thanks,2
91,< username > < username > dont you mean crowd not crows,2
92,lil spook and yung lean and robb all night,2
93,is she choking it & 128563 & 128563 & 128584 & 128584 & 128553 & 128553 & 8220 < username > i want a pet monkey & 128553 & 128525 < url >,2
94,a teen was running around target in monkey pjs screaming oo oo ah ah & amp the fitting room girls were cackling was today designed to annoy me,2
95,< username > the distant chugs at the end of dried up remain to be some of the most perfectly heavy guitars ever recorded,2
96,rt < username > asked threeyearold niece why the sun is yellow her reply maybe theres bees in there,2
97,< username > check cashing on the corner of el cajon and calwood its across the steer for pollo loco,2
98,the birds and the bees & 128038 & 128029,2
99,get here mt < username > sierra skiers < username > offers a fun break from the slopes sweet deal < url > travelnevada,2
100,rt < username > thats what sports are about forget the arrogance & amp trash talking its about making people feel like they are a part & 8230,2
101,< username > let me guess they have yellow cake too same crap different president,2
102,please stop scoring otherwise you wont have any runs for tomorrow against romero yankees bluejays mlb,2
103,the bird with the aim of dreams < url >,2
104,< username > cowboy killers & 128525,2
105,rt < username > lewis so trash lmao,2
106,< username > chik fil a hipotle is trash and taco bell will give you the runs,2
107,& 8220 < username > yankees and red sox are scoreless as we play in the 2nd inning & 8221 the bambino is watching,2
108,< username > < username > i saw the actual tweet while scanning jihadi accounts they put a screen shot of it with all aid workers r spies,2
109,with birds ill share this lonely view,2
110,rt < username > heard you was talkin trash like i wouldnt find out < url >,2
111,text me instead of playing flappy birds soiknowitsreal,2
112,rt < username > its okay chiquito & 128514 im not in the ghetto anymore & 128524,2
113,at a point where ive got to make a tough life decision ice black translucent sole or solid black sole on my kd vis blk or orange airbag,2
114,& 8220 < username > making weed brownies tonight & 8221 goin slide me a batch relo,2
115,< username > < username > not scanger,2
116,& 8220 < username > all i see in every iftheygunnedmedown tweet < url > dis be like da colored brady bunch,2
117,< username > idk its trash though,2
118,todays spy ops his soles need a cleaning lick lick i bet this cuties sneaks smell good < url >,2
119,rt < username > theres nothing hotter than a pale albino chick who can play guitar,2
120,hey < username > fans if anyone is wondering what the yellow tab on the back of the collar for its for teams that have won a champion,2
121,video charlie baker makes final push for votes < url >,2
122,rt < username > i think zlatan even has class in the way he talks trash,2
