label,tweet,id
1,<username> lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,0
1,rt <username> lol i be eatin da shit outta sum pussy ill never be a serial pussy eater tho,1
1,rt <username> how bitch how & 8220 <username> how is this ok <url>,2
2,floppy bird chalmers over here taking after his hero lebron,3
1,boolin in the bando wit a few bitches,4
1,the mom acts like a bitch doe like ok ur losing ur memory but dont be a cunt to ur daughter,5
1,<username> miss you bitch,6
1,<username> where your white hoes at bro lol,7
1,<username> yea i listen to that hoe when i wake up,8
1,<username> <username> lmfaooo oh well fuck that bitch,9
1,as i tweeted before any man telling me to go to the kitchen this season could tell his mom that father probably wouldnt of leftbitch,10
1,nationaldoughnutday bitch get at me & 127849 <url>,11
1,my side bitch is my main bitch cuz my main bitch aint feelin me nomonomo,12
1,rt <username> <username> hoe,13
1,all the snacks in this bitch & 128516,14
1,i need to change myself first im retarded as fuck,15
0,al noooo too late fuckin faggot lmao,16
1,tia chepa uhh noo bitch she is your tia irma & 128530 aghh hes so annoying,17
1,niggas be bitches hoes be bitches ion see no difference,18
2,rt <username> news & 8212 democrats and antisemitism & 8212 jewish group condemns vp joe biden & 8217s offensive reference to shylocks <url>,19
1,what kind of sorcery is this rt <username> nope rt <username> eat this pussy while im on my cycle & amp call it cherry pie,20
1,<username> & 128514 & 128514 & 128514 them bitches need a tan,21
1,sam is such a bitch ronnie got in a fight because of you & 128530,22
2,rt <username> rt if you listen to these bands & 128522 a7x ptv sws atl bvb adtr bmth ymas fob aa blink 182 tdg ss fir mcr follow me & amp everyon & 8230,23
1,then the mexican bitch wanna speak some other fuckin language & amp then give attitude cant speak right ass tf,24
2,despite the zebra red rocket special portland beats those jersey shore floppers,25
1,omggggg nigga said jerry black bitch,26
1,that nigga tannehill trash lmao dolphins trash,27
1,<username> <username> faggot bitch <url>,28
1,this bitch keep looking is she choosing me or nah,29
2,i dont want to deal with yesterdays trash theres a reason it got thrown out in the first place,30
1,i love how when it was airing everyone loved kill la kill but i was like no its fucking trash and now everyone who loved it hates it,31
1,<username> ok faggot <url>,32
1,<username> shit gettin money fuckin hoes uk how dat go lmaooooo,33
1,rt <username> u may think im a bitch but as soon as you get to know me u realize that first impressions are right and i am a bitch,34
2,<username> a video i made porn actress sexy capri anderson kissing video with charlie sheen <url> via <username>,35
1,its still spring bitch,36
1,where my bitches at mann,37
1,rt <username> when the nigga with the aux cord playin some trash shit <url>,38
1,rt <username> who tweeting with last night pussyass or dick on they breath this morning,39
1,son of a bitch thunder,40
1,cant save these hoes,41
1,easy congo rt <username> fuckin faggot rt <username> all though i eat my lunch on the road frequently,42
1,<username> bitch & amp if they wasnt & 128514 & 128557,43
2,i have to dress up tomorrow for mock interviews and i still dont know how to tie the tie & 128530,44
1,photo my mains <username> <username> yessssss ladykimora turntup vegas bitches & 128525 & 128525 <url>,45
1,walk out that bitch like rt <username> just murdered that test <url>,46
1,rt <username> this bitch has a death grip on this niggas balls smh <url>,47
1,<username> <username> shiddd add me i a turn that bitch up lmao,48
2,<username> i realized its the one on links awakening too so you killed two birds with one stone unless youre getting the wind fish too,49
1,<username> bitch dont b a hypocrite,50
1,rt <username> note about 300 & 24730 days in a month these hoes selling pussy for $ 10 a pop lol <url>,51
1,rt <username> bitch you better play w this d i i i i i i i i i i c k,52
1,hate when bitches tryna put you in the friendzonebitch im tryna score put me in the endzone,53
1,rt <username> im gonna start my own web md site and the only three diagnosis are quit being a pussy lay off the drugs call 911,54
0,rt <username> idc what phone u got lol silly nigger,55
2,rt <username> have to go with the slant pass to your outside linebacker in that situation,56
1,i hate a hacked at 20k ass hoe,57
1,<username> keep talking im going to make when u cant talk u going to be talking like a retard,58
1,rt <username> im hooked on money the pussy and weed is just a bonus,59
1,rt <username> mygoalfor 2012 unhoe these bitches,60
0,omg you wont say it to my face stupid ass hoes talkin shit imma whoop her ass over dramatic teenage girls,61
2,& 128553 monkey mad,62
1,<username> <username> biggest liars ever republican teabagger asshats like stockboy pinoccio,63
1,<username> he forced it lol mad bitches came to my mind thru every bar,64
1,fines hoes only & 128527 & 128076,65
1,rt <username> if a mf really like you & 9786 & 65039 theyll drop all their hoes & 128108 & 128109 exes & 9995 & 128530 & amp groupies and focus only on you & 128107,66
1,harvard got the worst hoes cheerleading in america,67
1,my bitch bad she from the islands,68
1,deions a bitch,69
2,debating feminism with a gay professor uninformed girls and low iq rednecks is not my idea of a fun wednesday night,70
1,rt <username> ifshecantsuckthedickright slap it on her forehead the bitch needs a spankin discipline her ass & 128514 & 9995,71
1,& 8220 <username> <username> <username> edward did oss he sparkled & 8221 & 128514 & 128514 bitch reality,72
1,the birds singing brings thoughts of hot flesh on this spring morning hot sexual desire fills my head let me taste you & amp feel you,73
1,rt <username> tweeting about ur boyfriend wont get him off xbox live that nigga gotta 24 kill streak rn bitch shut up,74
1,rt <username> <username> pepsi and cheerios smashin on these hoes got me blue in the taco bae thinks of me flaco errybody frontin jus & 8230,75
1,<username> bet my trash ass self is just that petty,76
1,most hated but the hoes favorite 2mw sevenone <url>,77
1,rt <username> lol i have an obsession with smell goods candlesplug insspraythe smelly good wax thingyspussy,78
0,<username> nigger,79
1,fuck a opp thot well shoot a bitch,80
0,<username> fuckin muzzie cunts should all be deported savages,81
1,gudnight keep that pussy tight,82
1,i aint got no pussy or weed im on that bitch suck my dick diet,83
1,ladies you are not a hoe if you fucked on the first night dont let these lonely bitches lie to you,84
1,<username> bitch this shit is soooo funny & 128553 & 128128 & 128557,85
0,so i decided to drive to the good walmart where the colored folks dont go bc its food here,86
1,like i cant have niggas thinkin hotep talk time is apart of my party sets,87
1,rt <username> fuck da opps 1x fuck dear hoes 3x & 128514,88
1,<username> <username> <username> that shit chunky lol,89
1,<username> he said he got you in workouts pussy,90
1,yal some faggots yup nigga you n you fuckin fruit cups,91
1,rt <username> 7th grade bitches & lt3 <url>,92
1,rt <username> dont try too fuck with me & amp got a million and two bitches because i will tell them all i promise i will,93
1,<username> i know all the bitches love me & 128129,94
2,<username> <username> dont trash jerseyodds areyou wouldnt last 10 minutes around here go back to watching barney,95
0,rt <username> lebron your still a bitch you suck nigger hope you die,96
2,<username> at some point we need to discuss how delicious the vegan brownie from <username> on u st tastes,97
1,idk why niggah give a female head then throw a condom on lmaooo niggah you already ate the whole std & 1041204 & 1041204,98
1,omfg the crazy bitch is here & 128557 & 128584,99
1,them hoes dont like me & 128514 & 128514 & 128514 & 128514 & 128514 & 128553 & 128553 & 128553 & 128553 & 128530 & 9996 & 65039,100
1,warriors aint winning shit if curry keep playin like a bitch,101
1,this bitch,102
1,people are such bitches complaining over stupid things,103
1,on top of that she just a pregnant ass sorry hoe aint never got no money even her water broke <username> riptallt,104
1,<username> where have you been hoe,105
1,my niggah i slept perfect,106
1,& 128514 & 128514 & 128514 nah if you round me you do molly & 8220 <username> only bitches with no nigga do mollies & 8221,107
2,<username> so you about to purpose to charlie,108
1,hoes be like hoes be likebut they be the hoes that be like,109
0,<username> <username> <username> i dont likes dat magazine all da black folk look like dey one chromeasome away from da ape,110
1,rt <username> & 8220 <username> <url> ooooo give this one to the hot pocket hoe aamu,111
1,rt <username> & 8220 <username> <username> lmfao bitch was i talking to you & 128514 & 128514 & 8221but im talking to you in my bubba voice & 128514 & 128514 & 128514 & 128128,112
1,its funny when u get a black female mad they start acting ghetto then a bitch,113
2,& 8220 <username> if howard elbow bosh will bosh fight back & 8221 dont have to got mcbob bird and ud,114
0,every slant in losangeles should be deported those scum have no right to be here chinatown should be bulldozed,115
1,pau a hoe how u gon play after the trade deadline,116
1,rt <username> dawg rt <username> you ever fuck a bitch and she start to cry you be confused as shit,117
1,tyga and drake two light skin bitches but if had to choose in a fight i would go with the guy from compton over the one from toronto,118
1,<username> i swear this is just disgraceful like a bitch line a really be dry all day ill only get emails from pacsun & 128557 & 128299,119
0,<username> the fuck r u talking about i told u once and am going to tell u against nigga i love white bitch gtf bro,120
2,rt <username> charlie sheen did the ice bucket challenge the right way <url>,121
1,<username> <username> <username> hes a pussy,122
1,<username> the cunt needs her hands cut off,123
1,what a bitch pshh,124
1,<username> pussy shit ^,125
1,<username> a nicca anxious to hear that shit my g,126
1,likka downtown bitch at a secondline rt <username> man yeah thats ball game teddy bridgewater gettin in we hit 03,127
1,rt <username> swag swag swag bitch moooob,128
1,i dont love these hoes,129
1,little stupid ass bitch i aint fuckin wit chuuu,130
1,im going to be an ugly niggah for halloween so i can just be myself,131
2,& 8220 <username> and thats why mock drafts are a joke my friends & 8221anyone,132
1,bitch i wouldnt eat yah pussy wit another nigga tongue,133
1,rt <username> <username> & 128514 & 128514 & 128514 on god i be thinking that lol people at school be showing me this nigguh videos im like & 128563 he famous oss & 128514,134
1,idgaf if thats sounds illogical this twitter bitch,135
2,<username> so how bout now was just trash huh,136
1,<username> <username> <username> you can tease this dick faggot,137
1,<username> bitch what i did show up then i tweeteddm texted then called u and i asked u were tryna meet up bitch ur fucking weak,138
1,behind every independent woman is a pack of hating hoes,139
2,<username> its idiotic opinions like this that make polls less than trash polls werent a problem when people with integrity were voting,140
1,my house is so piece full thank god these little jungle bunnies are outta my face,141
1,believe in the heart of the cards bitch,142
0,<username> big fucking dealcry baby niggers,143
1,rt <username> and if you aint a hoe get up out my traphouseeee <url>,144
0,<username> my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,145
1,& 8220 <username> <username> nawwww if you a hoe you sittin on the floor and not my damn couuuuuch & 128131 but your birthday is in feb or naa & 8221 nope,146
1,thats why i could always call smurf for anything my niggah always there even when im beefing w my baby,147
1,jacobs just like stfu bitch,148
1,& 128514 & 128514 & 128514 & 128514 i hate you rt <username> cyrus ho is a rookie slut getting the cash after the date nope nope nope,149
1,i hate when people just randomly stop talking to you like give me a reason bitch,150
1,all the pictures of the ex are gonetheres no pictures with the side hoe postedslides into his dms like <url>,151
1,<username> i always want to speak to ppl i converse with on twitter but they always look at me like bitch idk you in real life smh,152
1,signsofcockblockin & gtrt <username> niggahs telling hoes im down talking them just so i cant get on & 128514 fuckniggahs,153
1,my mother even bitched his bitch ass ctfu,154
1,rt <username> can i get a fuck you to these bitches from all of my niggas who dont love hoes they get no dough,155
1,all the money n the pussy i want i need that there,156
0,i find it funny when fags write looking for bf on a grindr ap lol thats a fucking ap dumbass,157
2,rt <username> i dont like the weather right now its scaring me lol why is it yellow,158
1,yeah im a bitch but guess what youre still a slut,159
2,mommy said no pussy cats inside my dawgs house,160
1,rt <username> & 8220 <username> <username> <username> fucking pussy thats why & 8221 exactly let me @ the nigga <username> were talking about & 8230,161
1,being a sober soul just wasnt interesting bitch im living 5spmg ggl <url>,162
1,<username> am not gonna shut shit up bitch but u can get yo punk ass out there hoe ass nigga,163
1,just yelled out damn it reeks of weed in therereally did after this stoner fag didnt tip me while a cop was walking by haha bitches,164
2,this flappy bird game addicting,165
1,hell i believe you toort <username> <username> lol i still look good im smaller than half these hoes,166
1,i want some fire crackers not the baby ass fire works does az have fire crackers,167
1,or my cup filled & 8220 <username> love a bitch that know to keep me one rolled & 8221,168
1,rt <username> im scared to lose you cause i know you get bitches,169
1,rt <username> the problem with retard liberals is they think supply & amp demand means supply me with everything i demand votingmatters,170
1,rt <username> this bitch played too much subway surfer <url>,171
2,generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird ^ _ ^ <url>,172
1,thats my bitch when i feel like it,173
1,rt <username> idk why your favoriting shit hoe bye & 128536 & 128075,174
1,<username> you can be a bad bitch too dex its okay,175
2,<username> well pee is oft yellow,176
1,i am for equality in the law for all people white black red yellow and blue homos heteros well i draw the line <url>,177
1,stupid bitch & 8230 & 8230 count to h and get off my phone,178
1,some bitches curve game be too serious,179
1,rt <username> these hoes be twerkin for birkin poppin coochie for gucci bustin wide for that prada bendin over for louis,180
1,rt <username> <username> i havent slapped a bitch in two weeks,181
2,<username> blaxican,182
1,<username> yasssss bitch yasssss & 128525,183
2,some call me the song bird of my generation,184
1,hysterical calling bho a monkey northkorea & lt may be a bunch of assholes but that comment made me belly laugh,185
1,<username> <username> and a major league bitch too,186
1,rt <username> <username> got all the bitches <url>,187
1,rt <username> wow well arent you just a fucking cunt,188
1,alibaba jack ma gotta love a guy who beat meg whitmans albino ass back to the us freakin commie genius,189
0,& 8220 <username> <username> <username> damn they got wifey & 128561 & 128561 & 128534 & 128534 & 128555 & 128553 & 128553 & 128553 & 8221 fall back nigga & 128299 i dont share my hoes,190
1,<username> shit he prolly is other than that everybody else trash,191
1,dj khaled a fool 500k for a ring for nikki that bitch spends a good million on her ugly ass wigs & 128514 & 128514 & 128514,192
1,rt <username> im done wasting my time im just going cut a bitch off faster than i blink,193
1,bobby bitch & gthot nigga,194
1,hahahaha manziel is a faggot and the browns will ruin him win win for me,195
1,& 8220 <username> <username> u got hoes tho & 8221 werd & 128066 where & 128064,196
2,rt <username> gracias por jugar con el corazon ahora a ganarle a los yankees <username> <url>,197
1,rt <username> c is for cunt u is for ur a cunt n is for not sure u know this but ur a cunt t is for turn around bitch ur a cunt,198
1,rt <username> side hoes shall only eat side dishes fo ye are what ye eats traprinthions 1017,199
1,i know my shoes dirty as fuck whatever bitch you dont have to call like negro one of the first things they look at is shoes dog,200
2,rt <username> drinking to the last drop washing teapot haiku mijikai,201
1,<username> girl i been wanting them shit i been growing them hoes for bout 6months,202
1,rt <username> like bitch you already know the answer its all for bri duh,203
1,rt <username> when they said lifes a bitch they really meant it,204
1,never lose bitches chasing money & 128524 priorities,205
1,<username> nigga byeeeee lmfao ill be dammed if a fag stole my girl,206
1,throwback to being bitches & amp drinking mikes bc we sucked <username> <url>,207
2,short answer yes ~ sage grouse rebellion will obama use two small birds to limit oil drilling in the west <url>,208
2,if temple beats rutgers today i will be a happy clam,209
1,cut that bitch off,210
0,i still think snap chat for faggots and high schoolers,211
1,im downloading you a new personality and ordering you a new face you bitch i love you goddamn it axl rose yelling at his sex robot,212
1,weazy bitch birdman jr <url>,213
2,tomorrows agenda bake brownies & amp visit a couple open house,214
1,and now lookin ass niggas and lookin ass bitches will be the terms of 2014 will be overused & amp abused in every fucking way,215
1,& 8220 <username> boyfriends thatll eat yo pussy all day long ur da real mvp & 128557 & 128079 & 8221 <url>,216
1,<username> pussy,217
1,i dont trust these bitches,218
1,whys this bitch wearing a striped tshirt and nike shocks,219
1,errybody in dis bitch getting tips whispers errybody in dis bitch getting tipsy,220
1,this bitch crazy,221
1,<username> dunleavy my cracker ass honkie,222
1,these niggas aint shit but hoes with tricks,223
1,omg i hate this bitches fucking laugh shut the fuck upppp,224
1,rt <username> bitches talking bout dey bout ta chill out on going out you bitches just saying dat cause its getting cold and u bitches d & 8230,225
1,rt <username> plot twist it takes a lot to cut that bitch off & 128528,226
1,<username> <username> <username> chill your dad gets more bitches at school than you do griff,227
2,it feels awkward to have the <username> playing against the <username> i mean we all know who im rooting for but its awkward,228
2,i miss my monkey & 128533,229
1,<username> thats nate dumbass we all just mock him,230
