,tweet,label
0,Al noooo too late lmao faggot fuckin,0
1,< rt> username what phone idc u got nigger lol silly,0
2,omg you wont say it to face my stupid hoes ass shit talkin whoop imma her over ass girls teenage dramatic,0
3,< nigger username >,0
4,Username <> fuckin muzzie cunts should deported savages all be,0
5,I so decided to drive to walmart the where good colored the folks go dont bc food here its,0
6,rt username <lebron> a your still nigger bitch you suck hope die you,0
7,<> username <username> <> username dont i likes dat all da magazine black look like dey folk one chromeasome away da ape from,0
8,every in losangeles slant be should deported scum those have right no to be should here chinatown bulldozed be,0
9,< username the> fuck talking r u about told i u once and am to u going tell against i nigga white love gtf bitch bro,0
10,Username <> big dealcry fucking baby niggers,0
11,<> username my bitch want dont ugly your ass peyton gtfo manning ass ol lookin,0
12,i it find funny when fags write looking bf for on ap a grindr lol thats a dumbass fucking ap,0
13,& <8220 username> <username> <username> they got damn wifey & 128561 128561 & 128534 & & 128534 128555 & & 128553 & 128553 & 128553 & back 8221 fall & nigga i 128299 share dont hoes my,0
14,I still chat think faggots snap for high schoolers and,0
15,& 8220 <> username just got done with my im last final and around walkin like campus own i this place & queer 8221,0
16,goes olive to garden turns into cracker a <> username goes black turns shopping friday nigger into a,0
17,Nigga just had them crackers on a chase,0
18,to guy complains gays me oversensitive are response and my at look you like complaining little waahh pussy waahh hypocrite,0
19,<> probably username niggas like be watching at me look this tom uncle rasta ass,0
20,<> username me on 1 fight 1 ur of choice game see faggot happens what,0
21,You some of type faggot special if bring you swishers to chocolate a session smoke,0
22,spic every cop in has losangeles raped or has thought about raping a white woman thats why those halfbreeds get as pigs jobs,0
23,by cussed a out on fat redneck the yolo day last <username> <username> <username> 128514 & 128514 &,0
24,<> and username username <kbye> are faggots,0
25,< username> but in live i the lot south more my here pop in lives rhode hardly island niggers no there,0
26,<> username <> username a nasty your whore nigger,0
27,Ass bitch be on nigga hating women black uncle bitch tom punk,0
28,missing I something of my ofay day friends scared all by da happenings recent worryol dont chu lamar you say da like colored folk,0
29,< rt> more username queer lady templars my point thats,0
30,Faux noise pundits dont like duck proslavery molester homophobic racist teabagger phil darling robertson either url <>,0
31,ass redskin fuck corners,0
32,Gahdamn well rt <username> & 8220 wooooow username <good> job mommy thing cutest blue ivy ever done still she an nigger baby ugly 8221 &,0
33,heard say brady yall he was he washed now washing the league you hoe on niggas ass,0
34,Username <> <> username <> username look at ass nigger this shit nigger here right,0
35,< username> username <dryer then them> bad ass fag eyes your of,0
36,<> username you of full are it these so called are children they not are children illegal jumpers border ms members gang,0
37,if you say of any following the words convo the over is nigger yolo nigga swag fag retard,0
38,Username <> legs shut your hoe,0
39,< username> we are by being because mongrels overrun zog the or jews that our run want countries white man the to perish,0
40,bitches be like mixed wit im chinese italian nd african american i like be bitch just you cuz ur ate & 8230 <url >,0
41,< username shut> your dirty dirt trap ashy you knees limp footed balls isolated hamster blue wheel no nipples bitch,0
42,is america white trash so and americans all are,0
43,< username> <> username <username> madonnas lmao music sucks yeah if youre fucking stupid think you gaga better retard is,0
44,Username <> username <> username <your getting> blocked faggot,0
45,rt username <> got niggas you & i amp got but bitches want i you 128149 & 127926 &,0
46,such fag george michael a,0
47,Username <> username <dont> forget butt nappy headed ugly bitch whos muslim married to a,0
48,Roman catholics us in are the trash they give catholics in europe a name bad,0
49,Chcgo diversity blck pstr flooded dth w ovr gop threats endorsement of candidate & 8220u sellout tom uncle ngger ass & <url 8221 >,0
50,<> username i faggot knew you really werent my friend,0
51,faggots flaming that publicly state how they want everything handed to them like fuck you dude off get your bottom and do ass something,0
52,would only americans with hire trash white to ties terrorism international as police officers,0
53,<> username the you & 8217re going 2have kill 2 crackers & their amp babies new & 8221 black credibilityshot fergusonriot panthers 4mikebrown justice,0
54,its this dyke cut hair chick the in barbershop look future like just,0
55,< username> username <> username <shit> your and ass shabbat moms your pussy jew u bastard ur times heil hitler coming,0
56,< username> ok u lookin fat precious bitch ass u big fat back the at lookin barnyard ass bitch can i my fix but u grammar fat still,0
57,ass faggot nigga bitch,0
58,referred trayvonmartin zimmerman as to ass creepy a thug cracker racist,0
59,< rt username> dont be faggot a cover mouth your when fkn cough you or i sneeze got a immune system to keep strong asshole,0
60,bumped a into that bitch for filed harassment sexual against at a work coworkeri aint shook been so in life my,0
61,in niggas be they when feelings they out find their fuckin hoe stopsavinthesehoes nigga another,0
62,< rt username> some black at guy my school if asked there colored were in printers its the library 2014 man can you use printer any & you 8230,0
63,This nigglet 10084 & 65039 &,0
64,are lakers trash right now,0
65,<> username you a fatherless carrying wallet ass video game ass negro playing breh you filth no way you afford to can twitterhoney date a,0
66,& <8220> username ask if me u gay bitch every & 8221or bi,0
67,Username <fag >,0
68,< username> a sion is very meh faggot pre ganks 6 and 6 post his ganks are still meh pretty hes a just nothing tank imo special mao,0
69,Username <kill the coons >,0
70,< rt> username fuck michelle obama that monkey in doesnt belong white house the,0
71,< username> username <> <> username the nig fun watch is to to got ebola boy admit can broken spanish speak too lol,0
72,< username rt proudly a> u dumb racist nigger,0
73,< username> sounds like good a but i idea my want to word be spread niggers jews commies alike and,0
74,birthdayyyy happppppy & & 1041191 & 1041196 niggahs 1043215 lol is really 21 this in bitch 1043358 & 1041219 & <url >,0
75,< username> bitch hoe whatever them 1 fags beat sad yall too asses,0
76,Username <> <> username lmao nigga said shoulda i be balless bc would cold dat bitch stop wont blowin meswaagg,0
77,Username <> <username> say that shit my face to bruh you a bitch for in gettin a u dont man know handle business yo shit own,0
78,< username> some amigo negro pulled a gun nate on and i a weeks i ago few was & stoked & 128299 & 128299 128299,0
79,username lmaooo rt <> she a if tranny she open a can jar of by herself pickles,0
80,< damn username> dumb took nearly this spic 2 to days respond really wuz tho beaner good,0
81,Username <> basically the so you like background music fag,0
82,eva have asked a you nicca dey where got sum fake frm designer,0
83,rt <> username & <8220 the username> between pat bromance ant and real is & 8221 that faggot fuck,0
84,<> username username <> <> username <back username> lego go to club faggot,0
85,<> bend username i that dont queer way thanks for offer its the flattering,0
86,< rt> username african colored i car push niggerous whips,0
87,Dutch who people live outside newyorkcity of are white trash all,0
88,seem colored da like gettin be folk in way lately da i just sayin,0
89,< rt> username ya why be niggas wack gassin these ass bitches & & 128553 128553,0
90,losing ahhhahahaha oregon faggots in oregon,0
91,im to sell my going iphone both my and dont i macs support faggots,0
92,< rt> username u hoes going this to church like morning wasnt yall busting it wide for about open 4 niggas hours ago,0
93,< username> <> username dude lmao are you the probably biggest in & fag nebraska 128514 & & 128514 & 128514 128514 128514 &,0
94,coulda wish more i said to <tonight username> good you fag & 128540 seeing,0
95,that gtta heard thang bitch boss for niggas them,0
96,Username <> the shut bitch goddam fuck up a slut your whore nigga bitch,0
97,is california full white of trash,0
98,This niggah know wassup,0
99,Stfu youre bitch with white spanish shitty your,0
100,<> fucking coon username,0
101,Username <faggot >,0
102,<> username bitch white ugly,0
103,Cute ass <niggah> url,0
104,niccas dem kick fucc out spot da,0
105,lawrences sooooo jennifer nudes trash im still smashin no though doubt,0
106,Username <> username <fight you> me obese fucking niglet,0
107,like I try how niggas an come at and me im do like it bitch they then and dont shit pussies do,0
108,a socks pussy when nigga you and doesnt you knock out,0
109,<> username hope you guys get for attacked do bunch supporting sopa of dirty faggots snake,0
110,Your retarded,0
