id,label,tweet
0,2,my bf <username> loves crows thought he might enjoy the last tweet
1,2,<username> genius the politically correct term would be intellectually disabled its highly offensive to use the word retarded
2,2,rt <username> pink albino dolphins are extremely rare but do exist in the wild <url>
3,2,whoooooaaa no chill savage & 8220 <username> here monkey monkey <url>
4,2,also it & 8217s a hiccup to jihadi propaganda they portray themselves as the only ones willing to die for their cause
5,1,my cats a bitch niggah
6,2,eggnog trash
7,2,lmaoooo rt <username> girls dont let a guy treat you like a yellow starburst you are a pink starburst
8,2,whipped cream & 9829 & 9829 endlesslove
9,2,cavs trash too
10,2,<username> gator bait & 128010 & 128548
11,1,if only my new local mall wasnt so ghetto
12,2,hugs or kisses & 8212 hugs it gives you a warm fuzzy feeling <url>
13,1,rt <username> ok i gotta cut this carl thomas album off b4 i call my ex & amp say fuck u u ruthless bitch lol
14,0,rt <username> never go full retard <url>
15,2,rt <username> farewellcaptain <username> what a way for derek jeter to close his yankee stadium career
16,1,fuck that shit im out this bitch
17,2,dominoes moonlit lake velvet underground honey whiskey = white trash heaven i accept your ridiculebut just tonight
18,1,rt <username> cant believe you bitches find this remotely appealing <url>
19,2,we cant call somebody wack we got raymond felton rt <username> lin so trash
20,1,<username> nah id never ask a guy to ride down on a chick whats the use of getting him in trouble for a trashass bitch
21,0,most niccas broke but always n the limelight
22,2,iu 8 straight nation college soccer champions wow hoosiernation hoosiers & 9917 & 127942
23,2,<username> practically anything that & 8217s colored red often contain red pigments extracted from the female coccus costa or cochineal insect
24,2,rt <username> crooked number followed by shut down frame love it yankees
25,1,<username> take like tamu bitches jumped to 6 after beating sc which aint that good <username> <username>
26,2,im pregnant charlie brown worstpeanutsspecialever
27,1,<username> <username> ill continue dis later ill be back bitch
28,1,believe in the heart of the cards bitch
29,1,you aint nothin but a piece of cheese with out the corners in other words you aint never gone be a slice bitch & 128514 & 128514 & 128514
30,2,alex smith wears red and yellow now so quit being psycho ex boyfriends and get over him hes in the past
31,2,<username> dont you have a trash can
32,1,shall i compare thee to a summer & 8217s day no a summer & 8217s day is not a bitch
33,1,rt <username> media matters executive behind stoprush campaign blogged about & 8216trannies & 8217 & 8216homos & 8217 <url> <url>
34,2,rt <username> charlie rangel rewrites history on gop & 8220they think they won the civil war & 8221 <url>
35,0,<username> your gay stfu dumb monkey
36,2,<username> <username> sounds like the hysteria over bird flu a few years back it had a lower mortality rate than the regular flu
37,2,friendly advice to western reporters in kobane dont advertise your location jihadis are tracking u & amp consider u a highprize target isis
38,2,<username> you look like flappy bird
39,2,rt <username> beanies for life & 9697 & 776 & 8413 <url>
40,1,<username> i dont got any beef with you but tell yo boy alex to stop acting like bitch and bring his duck ass up here
41,2,fake tits & 8220 <username> a hoe & 8220 <username> can u guess what i was & 8220 <username> twitpic your halloween costumes & 8221 <url>
42,2,rt <username> yall not gonna trash spirit airlines i travel w them all the time they even let me fly the plane 4 times they dont mi & 8230
43,1,never bring these hoes to my house cause these bitches talk
44,2,charlie sheen
45,1,if you see me speak bitch
46,2,early bird gets the worm & 128027 & 128036
47,0,im starting to not like meek this nig a lil to arrogant for me
48,0,<username> yeawhat did it do for maidana it made him a greedy faggot loser atleast broner is black
49,1,rt <username> this bitch came to the club with a broken neck bitch you serious <url>
50,0,i be sayin im done drinkin everyday but then one of my friends hit me up like i gotta case and only faggots turn down free beer
51,0,<username> faggot
52,2,<username> & 128530forever 21 hoes
53,2,the guy got excited when he saw oreo cookie crusts he thought i was making pie he was bummed when he realized it was cheesecake
54,2,i love my 10 & amp 5 but most days they remind me why birth control is important later in life i miss my baby bird come home 18 <username>
55,2,rt <username> i like being asian and all but its a struggle having squinty eyes in every picture
56,1,some guy at orientation got asked what his top 3 favorite music artists are and the first thing this bitch said was usher
57,0,rt <username> if i was obama id call a press conference & amp slit joe bidens neck on live tv just 2 show these crackers i mean business & 8230
